group,category,pos_group_cb,lemma,token_count
"Art, design, crafts",AI_USE,NOUN,ai,522
"Art, design, crafts",AI_USE,NOUN,creative,139
"Art, design, crafts",AI_USE,NOUN,help,122
"Art, design, crafts",AI_USE,NOUN,time,99
"Art, design, crafts",AI_USE,NOUN,need,80
"Art, design, crafts",AI_USE,NOUN,tool,74
"Art, design, crafts",AI_USE,NOUN,process,63
"Art, design, crafts",AI_USE,NOUN,one,62
"Art, design, crafts",AI_USE,NOUN,model,56
"Art, design, crafts",AI_USE,NOUN,example,53
"Art, design, crafts",AI_USE,NOUN,artist,49
"Art, design, crafts",AI_USE,NOUN,lot,48
"Art, design, crafts",AI_USE,NOUN,way,44
"Art, design, crafts",AI_USE,NOUN,change,42
"Art, design, crafts",AI_USE,NOUN,color,38
"Art, design, crafts",AI_USE,NOUN,client,37
"Art, design, crafts",AI_USE,NOUN,business,30
"Art, design, crafts",AI_USE,NOUN,edit,30
"Art, design, crafts",AI_USE,NOUN,year,28
"Art, design, crafts",AI_USE,NOUN,job,27
"Art, design, crafts",AI_USE,NOUN,prompt,27
"Art, design, crafts",AI_USE,NOUN,task,27
"Art, design, crafts",AI_USE,NOUN,concern,26
"Art, design, crafts",AI_USE,NOUN,character,24
"Art, design, crafts",AI_USE,NOUN,day,24
"Art, design, crafts",AI_USE,NOUN,research,24
"Art, design, crafts",AI_USE,NOUN,company,23
"Art, design, crafts",AI_USE,NOUN,point,23
"Art, design, crafts",AI_USE,NOUN,background,21
"Art, design, crafts",AI_USE,NOUN,information,21
"Art, design, crafts",AI_USE,NOUN,aspect,20
"Art, design, crafts",AI_USE,NOUN,designer,20
"Art, design, crafts",AI_USE,NOUN,level,20
"Art, design, crafts",AI_USE,NOUN,creation,18
"Art, design, crafts",AI_USE,NOUN,bit,17
"Art, design, crafts",AI_USE,NOUN,suggestion,17
"Art, design, crafts",AI_USE,NOUN,assistant,16
"Art, design, crafts",AI_USE,NOUN,detail,16
"Art, design, crafts",AI_USE,NOUN,end,16
"Art, design, crafts",AI_USE,NOUN,sense,16
"Art, design, crafts",AI_USE,NOUN,case,15
"Art, design, crafts",AI_USE,NOUN,hour,15
"Art, design, crafts",AI_USE,NOUN,result,15
"Art, design, crafts",AI_USE,NOUN,show,15
"Art, design, crafts",AI_USE,NOUN,software,15
"Art, design, crafts",AI_USE,NOUN,generation,14
"Art, design, crafts",AI_USE,NOUN,mind,14
"Art, design, crafts",AI_USE,NOUN,answer,13
"Art, design, crafts",AI_USE,NOUN,brainstorming,13
"Art, design, crafts",AI_USE,NOUN,past,13
"Art, design, crafts",AI_USE,NOUN,topic,13
"Art, design, crafts",AI_USE,NOUN,eye,12
"Art, design, crafts",AI_USE,NOUN,week,12
"Art, design, crafts",AI_USE,NOUN,future,11
"Art, design, crafts",AI_USE,NOUN,life,11
"Art, design, crafts",AI_USE,NOUN,place,11
"Art, design, crafts",AI_USE,NOUN,stuff,11
"Art, design, crafts",AI_USE,NOUN,admin,10
"Art, design, crafts",AI_USE,NOUN,moment,10
"Art, design, crafts",AI_USE,NOUN,production,10
"Art, design, crafts",AI_USE,NOUN,response,10
"Art, design, crafts",AI_USE,NOUN,role,10
"Art, design, crafts",AI_USE,NOUN,search,10
"Art, design, crafts",AI_USE,NOUN,step,10
"Art, design, crafts",AI_USE,NOUN,thought,10
"Art, design, crafts",AI_USE,NOUN,amount,9
"Art, design, crafts",AI_USE,NOUN,collaboration,9
"Art, design, crafts",AI_USE,NOUN,knowledge,8
"Art, design, crafts",AI_USE,NOUN,name,8
"Art, design, crafts",AI_USE,NOUN,perspective,8
"Art, design, crafts",AI_USE,NOUN,subject,8
"Art, design, crafts",AI_USE,NOUN,feedback,7
"Art, design, crafts",AI_USE,NOUN,industry,7
"Art, design, crafts",AI_USE,NOUN,output,7
"Art, design, crafts",AI_USE,NOUN,purpose,7
"Art, design, crafts",AI_USE,NOUN,track,7
"Art, design, crafts",AI_USE,NOUN,chatgpt,6
"Art, design, crafts",AI_USE,NOUN,development,6
"Art, design, crafts",AI_USE,NOUN,google,6
"Art, design, crafts",AI_USE,NOUN,money,6
"Art, design, crafts",AI_USE,NOUN,partner,6
"Art, design, crafts",AI_USE,NOUN,source,6
"Art, design, crafts",AI_USE,NOUN,effort,5
"Art, design, crafts",AI_USE,NOUN,form,5
"Art, design, crafts",AI_USE,NOUN,issue,5
"Art, design, crafts",AI_USE,NOUN,llm,5
"Art, design, crafts",AI_USE,NOUN,system,5
"Art, design, crafts",AI_USE,NOUN,thanks,5
"Art, design, crafts",AI_USE,NOUN,thinking,5
"Art, design, crafts",AI_USE,NOUN,datum,4
"Art, design, crafts",AI_USE,NOUN,gap,4
"Art, design, crafts",AI_USE,NOUN,market,4
"Art, design, crafts",AI_USE,NOUN,service,4
"Art, design, crafts",AI_USE,NOUN,voice,4
"Art, design, crafts",AI_USE,NOUN,month,3
"Art, design, crafts",AI_USE,NOUN,writer,2
"Art, design, crafts",AI_USE,NOUN,author,1
"Art, design, crafts",AI_USE,NOUN,plot,1
"Art, design, crafts",AI_USE,NOUN,version,1
"Art, design, crafts",AI_USE,VERB,use,337
"Art, design, crafts",AI_USE,VERB,do,288
"Art, design, crafts",AI_USE,VERB,help,122
"Art, design, crafts",AI_USE,VERB,feel,94
"Art, design, crafts",AI_USE,VERB,take,80
"Art, design, crafts",AI_USE,VERB,want,75
"Art, design, crafts",AI_USE,VERB,see,72
"Art, design, crafts",AI_USE,VERB,ask,70
"Art, design, crafts",AI_USE,VERB,generate,66
"Art, design, crafts",AI_USE,VERB,know,50
"Art, design, crafts",AI_USE,VERB,say,47
"Art, design, crafts",AI_USE,VERB,sound,42
"Art, design, crafts",AI_USE,VERB,provide,37
"Art, design, crafts",AI_USE,VERB,prompt,27
"Art, design, crafts",AI_USE,VERB,focus,26
"Art, design, crafts",AI_USE,VERB,point,23
"Art, design, crafts",AI_USE,VERB,become,21
"Art, design, crafts",AI_USE,VERB,understand,21
"Art, design, crafts",AI_USE,VERB,begin,20
"Art, design, crafts",AI_USE,VERB,continue,19
"Art, design, crafts",AI_USE,VERB,end,16
"Art, design, crafts",AI_USE,VERB,hope,16
"Art, design, crafts",AI_USE,VERB,save,16
"Art, design, crafts",AI_USE,VERB,thank,16
"Art, design, crafts",AI_USE,VERB,mean,14
"Art, design, crafts",AI_USE,VERB,seem,13
"Art, design, crafts",AI_USE,VERB,fill,12
"Art, design, crafts",AI_USE,VERB,fit,12
"Art, design, crafts",AI_USE,VERB,cover,11
"Art, design, crafts",AI_USE,VERB,place,11
"Art, design, crafts",AI_USE,VERB,replace,11
"Art, design, crafts",AI_USE,VERB,require,11
"Art, design, crafts",AI_USE,VERB,run,11
"Art, design, crafts",AI_USE,VERB,spend,11
"Art, design, crafts",AI_USE,VERB,believe,10
"Art, design, crafts",AI_USE,VERB,evolve,10
"Art, design, crafts",AI_USE,VERB,play,10
"Art, design, crafts",AI_USE,VERB,struggle,10
"Art, design, crafts",AI_USE,VERB,grow,9
"Art, design, crafts",AI_USE,VERB,handle,9
"Art, design, crafts",AI_USE,VERB,capture,8
"Art, design, crafts",AI_USE,VERB,check,8
"Art, design, crafts",AI_USE,VERB,ensure,8
"Art, design, crafts",AI_USE,VERB,hire,8
"Art, design, crafts",AI_USE,VERB,leave,8
"Art, design, crafts",AI_USE,VERB,worry,8
"Art, design, crafts",AI_USE,VERB,face,7
"Art, design, crafts",AI_USE,VERB,push,7
"Art, design, crafts",AI_USE,VERB,reach,7
"Art, design, crafts",AI_USE,VERB,affect,6
"Art, design, crafts",AI_USE,VERB,avoid,6
"Art, design, crafts",AI_USE,VERB,depend,6
"Art, design, crafts",AI_USE,VERB,exist,6
"Art, design, crafts",AI_USE,VERB,fall,6
"Art, design, crafts",AI_USE,VERB,happen,6
"Art, design, crafts",AI_USE,VERB,vary,6
"Art, design, crafts",AI_USE,VERB,adapt,5
"Art, design, crafts",AI_USE,VERB,rely,5
"Art, design, crafts",AI_USE,VERB,act,4
"Art, design, crafts",AI_USE,VERB,automate,4
"Art, design, crafts",AI_USE,VERB,buy,4
"Art, design, crafts",AI_USE,VERB,prefer,4
"Art, design, crafts",AI_USE,VERB,call,3
"Art, design, crafts",AI_USE,VERB,compare,3
"Art, design, crafts",AI_USE,VERB,describe,3
"Art, design, crafts",AI_USE,VERB,guess,3
"Art, design, crafts",AI_USE,VERB,hear,3
"Art, design, crafts",AI_USE,VERB,hit,3
"Art, design, crafts",AI_USE,VERB,paste,3
"Art, design, crafts",AI_USE,VERB,realize,3
"Art, design, crafts",AI_USE,VERB,remember,3
"Art, design, crafts",AI_USE,VERB,seek,3
"Art, design, crafts",AI_USE,VERB,speak,3
"Art, design, crafts",AI_USE,VERB,stand,3
"Art, design, crafts",AI_USE,VERB,tend,3
"Art, design, crafts",AI_USE,VERB,accept,2
"Art, design, crafts",AI_USE,VERB,apply,2
"Art, design, crafts",AI_USE,VERB,attempt,2
"Art, design, crafts",AI_USE,VERB,expect,2
"Art, design, crafts",AI_USE,VERB,force,2
"Art, design, crafts",AI_USE,VERB,maintain,2
"Art, design, crafts",AI_USE,VERB,notice,1
"Art, design, crafts",AUTHORSHIP,NOUN,work,218
"Art, design, crafts",AUTHORSHIP,NOUN,image,151
"Art, design, crafts",AUTHORSHIP,NOUN,design,125
"Art, design, crafts",AUTHORSHIP,NOUN,project,97
"Art, design, crafts",AUTHORSHIP,NOUN,thing,80
"Art, design, crafts",AUTHORSHIP,NOUN,art,72
"Art, design, crafts",AUTHORSHIP,NOUN,person,70
"Art, design, crafts",AUTHORSHIP,NOUN,video,52
"Art, design, crafts",AUTHORSHIP,NOUN,content,44
"Art, design, crafts",AUTHORSHIP,NOUN,human,39
"Art, design, crafts",AUTHORSHIP,NOUN,writing,36
"Art, design, crafts",AUTHORSHIP,NOUN,part,34
"Art, design, crafts",AUTHORSHIP,NOUN,photo,31
"Art, design, crafts",AUTHORSHIP,NOUN,product,27
"Art, design, crafts",AUTHORSHIP,NOUN,piece,25
"Art, design, crafts",AUTHORSHIP,NOUN,graphic,24
"Art, design, crafts",AUTHORSHIP,NOUN,field,23
"Art, design, crafts",AUTHORSHIP,NOUN,element,22
"Art, design, crafts",AUTHORSHIP,NOUN,skill,22
"Art, design, crafts",AUTHORSHIP,NOUN,type,22
"Art, design, crafts",AUTHORSHIP,NOUN,hand,18
"Art, design, crafts",AUTHORSHIP,NOUN,page,18
"Art, design, crafts",AUTHORSHIP,NOUN,conversation,16
"Art, design, crafts",AUTHORSHIP,NOUN,list,16
"Art, design, crafts",AUTHORSHIP,NOUN,ability,15
"Art, design, crafts",AUTHORSHIP,NOUN,event,15
"Art, design, crafts",AUTHORSHIP,NOUN,line,15
"Art, design, crafts",AUTHORSHIP,NOUN,picture,15
"Art, design, crafts",AUTHORSHIP,NOUN,text,15
"Art, design, crafts",AUTHORSHIP,NOUN,email,14
"Art, design, crafts",AUTHORSHIP,NOUN,post,14
"Art, design, crafts",AUTHORSHIP,NOUN,game,13
"Art, design, crafts",AUTHORSHIP,NOUN,kind,13
"Art, design, crafts",AUTHORSHIP,NOUN,scene,13
"Art, design, crafts",AUTHORSHIP,NOUN,space,13
"Art, design, crafts",AUTHORSHIP,NOUN,story,13
"Art, design, crafts",AUTHORSHIP,NOUN,web,13
"Art, design, crafts",AUTHORSHIP,NOUN,website,13
"Art, design, crafts",AUTHORSHIP,NOUN,world,13
"Art, design, crafts",AUTHORSHIP,NOUN,description,12
"Art, design, crafts",AUTHORSHIP,NOUN,reference,12
"Art, design, crafts",AUTHORSHIP,NOUN,copy,11
"Art, design, crafts",AUTHORSHIP,NOUN,cover,11
"Art, design, crafts",AUTHORSHIP,NOUN,film,11
"Art, design, crafts",AUTHORSHIP,NOUN,set,11
"Art, design, crafts",AUTHORSHIP,NOUN,side,10
"Art, design, crafts",AUTHORSHIP,NOUN,asset,9
"Art, design, crafts",AUTHORSHIP,NOUN,book,9
"Art, design, crafts",AUTHORSHIP,NOUN,effect,9
"Art, design, crafts",AUTHORSHIP,NOUN,material,9
"Art, design, crafts",AUTHORSHIP,NOUN,series,9
"Art, design, crafts",AUTHORSHIP,NOUN,word,9
"Art, design, crafts",AUTHORSHIP,NOUN,couple,8
"Art, design, crafts",AUTHORSHIP,NOUN,draft,8
"Art, design, crafts",AUTHORSHIP,NOUN,number,8
"Art, design, crafts",AUTHORSHIP,NOUN,order,7
"Art, design, crafts",AUTHORSHIP,NOUN,stage,6
"Art, design, crafts",AUTHORSHIP,NOUN,music,5
"Art, design, crafts",AUTHORSHIP,NOUN,note,5
"Art, design, crafts",AUTHORSHIP,NOUN,problem,4
"Art, design, crafts",AUTHORSHIP,NOUN,script,4
"Art, design, crafts",AUTHORSHIP,NOUN,self,4
"Art, design, crafts",AUTHORSHIP,NOUN,quality,3
"Art, design, crafts",AUTHORSHIP,NOUN,novel,2
"Art, design, crafts",AUTHORSHIP,NOUN,article,1
"Art, design, crafts",AUTHORSHIP,NOUN,song,1
"Art, design, crafts",AUTHORSHIP,VERB,be,1190
"Art, design, crafts",AUTHORSHIP,VERB,work,218
"Art, design, crafts",AUTHORSHIP,VERB,create,143
"Art, design, crafts",AUTHORSHIP,VERB,design,125
"Art, design, crafts",AUTHORSHIP,VERB,need,80
"Art, design, crafts",AUTHORSHIP,VERB,go,75
"Art, design, crafts",AUTHORSHIP,VERB,change,42
"Art, design, crafts",AUTHORSHIP,VERB,write,37
"Art, design, crafts",AUTHORSHIP,VERB,edit,30
"Art, design, crafts",AUTHORSHIP,VERB,draw,23
"Art, design, crafts",AUTHORSHIP,VERB,include,23
"Art, design, crafts",AUTHORSHIP,VERB,paint,23
"Art, design, crafts",AUTHORSHIP,VERB,put,22
"Art, design, crafts",AUTHORSHIP,VERB,involve,21
"Art, design, crafts",AUTHORSHIP,VERB,produce,19
"Art, design, crafts",AUTHORSHIP,VERB,sell,17
"Art, design, crafts",AUTHORSHIP,VERB,build,16
"Art, design, crafts",AUTHORSHIP,VERB,finish,15
"Art, design, crafts",AUTHORSHIP,VERB,show,15
"Art, design, crafts",AUTHORSHIP,VERB,add,14
"Art, design, crafts",AUTHORSHIP,VERB,answer,13
"Art, design, crafts",AUTHORSHIP,VERB,improve,13
"Art, design, crafts",AUTHORSHIP,VERB,pay,13
"Art, design, crafts",AUTHORSHIP,VERB,plan,13
"Art, design, crafts",AUTHORSHIP,VERB,cut,11
"Art, design, crafts",AUTHORSHIP,VERB,love,11
"Art, design, crafts",AUTHORSHIP,VERB,remove,11
"Art, design, crafts",AUTHORSHIP,VERB,upload,11
"Art, design, crafts",AUTHORSHIP,VERB,receive,10
"Art, design, crafts",AUTHORSHIP,VERB,move,9
"Art, design, crafts",AUTHORSHIP,VERB,train,9
"Art, design, crafts",AUTHORSHIP,VERB,craft,8
"Art, design, crafts",AUTHORSHIP,VERB,draft,8
"Art, design, crafts",AUTHORSHIP,VERB,flow,8
"Art, design, crafts",AUTHORSHIP,VERB,lose,8
"Art, design, crafts",AUTHORSHIP,VERB,assist,7
"Art, design, crafts",AUTHORSHIP,VERB,clean,7
"Art, design, crafts",AUTHORSHIP,VERB,integrate,7
"Art, design, crafts",AUTHORSHIP,VERB,mention,7
"Art, design, crafts",AUTHORSHIP,VERB,read,7
"Art, design, crafts",AUTHORSHIP,VERB,enjoy,6
"Art, design, crafts",AUTHORSHIP,VERB,incorporate,6
"Art, design, crafts",AUTHORSHIP,VERB,suggest,6
"Art, design, crafts",AUTHORSHIP,VERB,break,5
"Art, design, crafts",AUTHORSHIP,VERB,bring,5
"Art, design, crafts",AUTHORSHIP,VERB,combine,5
"Art, design, crafts",AUTHORSHIP,VERB,feed,5
"Art, design, crafts",AUTHORSHIP,VERB,miss,5
"Art, design, crafts",AUTHORSHIP,VERB,send,4
"Art, design, crafts",AUTHORSHIP,VERB,consume,3
"Art, design, crafts",AUTHORSHIP,VERB,identify,3
"Art, design, crafts",AUTHORSHIP,VERB,lean,3
"Art, design, crafts",AUTHORSHIP,VERB,organize,2
"Art, design, crafts",AUTHORSHIP,VERB,mix,1
"Art, design, crafts",AUTHORSHIP,VERB,publish,1
"Art, design, crafts",CONTROL,NOUN,question,35
"Art, design, crafts",CONTROL,NOUN,media,34
"Art, design, crafts",CONTROL,NOUN,decision,19
"Art, design, crafts",CONTROL,NOUN,direction,15
"Art, design, crafts",CONTROL,NOUN,control,13
"Art, design, crafts",CONTROL,NOUN,flow,8
"Art, design, crafts",CONTROL,NOUN,chat,6
"Art, design, crafts",CONTROL,NOUN,experience,5
"Art, design, crafts",CONTROL,VERB,make,121
"Art, design, crafts",CONTROL,VERB,allow,23
"Art, design, crafts",CONTROL,VERB,let,23
"Art, design, crafts",CONTROL,VERB,drive,18
"Art, design, crafts",CONTROL,VERB,lead,13
"Art, design, crafts",CONTROL,VERB,set,11
"Art, design, crafts",CONTROL,VERB,decide,10
"Art, design, crafts",CONTROL,VERB,choose,9
"Art, design, crafts",CONTROL,VERB,pick,7
"Art, design, crafts",CONTROL,VERB,direct,6
"Art, design, crafts",CONTROL,VERB,manage,4
"Art, design, crafts",CONTROL,VERB,determine,3
"Art, design, crafts",CONTROL,VERB,guide,3
"Art, design, crafts",IDEATION,NOUN,use,337
"Art, design, crafts",IDEATION,NOUN,idea,165
"Art, design, crafts",IDEATION,NOUN,sound,42
"Art, design, crafts",IDEATION,NOUN,concept,29
"Art, design, crafts",IDEATION,NOUN,editing,28
"Art, design, crafts",IDEATION,NOUN,etc.,28
"Art, design, crafts",IDEATION,NOUN,theme,25
"Art, design, crafts",IDEATION,NOUN,inspiration,24
"Art, design, crafts",IDEATION,NOUN,creativity,22
"Art, design, crafts",IDEATION,NOUN,style,17
"Art, design, crafts",IDEATION,NOUN,marketing,12
"Art, design, crafts",IDEATION,NOUN,option,11
"Art, design, crafts",IDEATION,NOUN,area,10
"Art, design, crafts",IDEATION,NOUN,feature,10
"Art, design, crafts",IDEATION,NOUN,course,9
"Art, design, crafts",IDEATION,NOUN,planning,9
"Art, design, crafts",IDEATION,NOUN,sort,9
"Art, design, crafts",IDEATION,NOUN,term,9
"Art, design, crafts",IDEATION,NOUN,blog,8
"Art, design, crafts",IDEATION,NOUN,board,6
"Art, design, crafts",IDEATION,NOUN,tone,6
"Art, design, crafts",IDEATION,NOUN,outline,5
"Art, design, crafts",IDEATION,NOUN,fact,4
"Art, design, crafts",IDEATION,NOUN,reader,1
"Art, design, crafts",IDEATION,NOUN,situation,1
"Art, design, crafts",IDEATION,VERB,have,444
"Art, design, crafts",IDEATION,VERB,like,168
"Art, design, crafts",IDEATION,VERB,think,109
"Art, design, crafts",IDEATION,VERB,get,90
"Art, design, crafts",IDEATION,VERB,give,77
"Art, design, crafts",IDEATION,VERB,look,69
"Art, design, crafts",IDEATION,VERB,find,64
"Art, design, crafts",IDEATION,VERB,come,63
"Art, design, crafts",IDEATION,VERB,start,41
"Art, design, crafts",IDEATION,VERB,try,36
"Art, design, crafts",IDEATION,VERB,base,27
"Art, design, crafts",IDEATION,VERB,keep,26
"Art, design, crafts",IDEATION,VERB,research,24
"Art, design, crafts",IDEATION,VERB,tell,23
"Art, design, crafts",IDEATION,VERB,complete,19
"Art, design, crafts",IDEATION,VERB,brainstorm,18
"Art, design, crafts",IDEATION,VERB,learn,14
"Art, design, crafts",IDEATION,VERB,turn,14
"Art, design, crafts",IDEATION,VERB,follow,13
"Art, design, crafts",IDEATION,VERB,refine,13
"Art, design, crafts",IDEATION,VERB,expand,12
"Art, design, crafts",IDEATION,VERB,present,12
"Art, design, crafts",IDEATION,VERB,copy,11
"Art, design, crafts",IDEATION,VERB,develop,11
"Art, design, crafts",IDEATION,VERB,search,10
"Art, design, crafts",IDEATION,VERB,consider,8
"Art, design, crafts",IDEATION,VERB,engage,8
"Art, design, crafts",IDEATION,VERB,talk,8
"Art, design, crafts",IDEATION,VERB,discuss,7
"Art, design, crafts",IDEATION,VERB,explore,7
"Art, design, crafts",IDEATION,VERB,figure,6
"Art, design, crafts",IDEATION,VERB,iterate,6
"Art, design, crafts",IDEATION,VERB,share,6
"Art, design, crafts",IDEATION,VERB,imagine,5
"Art, design, crafts",IDEATION,VERB,offer,5
"Art, design, crafts",IDEATION,VERB,outline,5
"Art, design, crafts",IDEATION,VERB,connect,4
"Art, design, crafts",IDEATION,VERB,pull,4
"Art, design, crafts",IDEATION,VERB,bounce,3
"Art, design, crafts",IDEATION,VERB,explain,3
"Art, design, crafts",IDEATION,VERB,prepare,3
"Art, design, crafts",IDEATION,VERB,stay,3
"Art, design, crafts",IDEATION,VERB,utilize,3
