transcript_id,role,section,section_raw,n_sents,n_words,n_verbs,n_aux,n_verbs_total,n_nouns,n_propn,n_nouns_total
creativity_0000,user,intro,intro,3,16,3,1,4,1,0,1
creativity_0000,user,basic_job_description,basic job description,4,59,6,3,9,17,0,17
creativity_0000,user,walkthrough,walkthrough,4,82,9,4,13,23,3,26
creativity_0000,user,project_example,project example,3,57,8,7,15,9,3,12
creativity_0000,user,dynamic,dynamic,2,32,5,4,9,4,0,4
creativity_0000,user,changed_aspects,changed aspects,3,53,7,5,12,9,0,9
creativity_0000,user,concerns,concerns,3,56,6,5,11,16,2,18
creativity_0000,user,future,future,3,33,5,4,9,3,0,3
creativity_0000,user,extra_comments,extra comments,2,10,2,1,3,0,0,0
creativity_0001,user,intro,intro,1,5,2,0,2,0,0,0
creativity_0001,user,basic_job_description,basic job description,5,94,11,6,17,21,0,21
creativity_0001,user,walkthrough,walkthrough,9,163,17,6,23,38,2,40
creativity_0001,user,project_example,project example,6,104,10,3,13,18,2,20
creativity_0001,user,dynamic,dynamic,5,98,11,4,15,12,1,13
creativity_0001,user,changed_aspects,changed aspects,1,18,5,0,5,2,0,2
creativity_0001,user,concerns,concerns,11,208,24,15,39,44,4,48
creativity_0001,user,future,future,9,146,18,13,31,29,3,32
creativity_0001,user,extra_comments,extra comments,2,20,2,2,4,2,0,2
creativity_0002,user,intro,intro,2,9,2,1,3,1,0,1
creativity_0002,user,basic_job_description,basic job description,3,82,12,6,18,23,0,23
creativity_0002,user,walkthrough,walkthrough,4,87,19,1,20,18,1,19
creativity_0002,user,project_example,project example,4,88,15,4,19,14,2,16
creativity_0002,user,dynamic,dynamic,3,111,21,3,24,17,1,18
creativity_0002,user,changed_aspects,changed aspects,2,37,3,3,6,7,0,7
creativity_0002,user,concerns,concerns,2,52,8,6,14,9,1,10
creativity_0002,user,future,future,2,50,10,4,14,7,1,8
creativity_0002,user,extra_comments,extra comments,1,5,1,0,1,0,0,0
creativity_0003,user,intro,intro,1,5,1,0,1,0,0,0
creativity_0003,user,basic_job_description,basic job description,8,182,14,14,28,42,1,43
creativity_0003,user,walkthrough,walkthrough,2,70,10,1,11,22,1,23
creativity_0003,user,project_example,project example,11,191,25,11,36,40,4,44
creativity_0003,user,dynamic,dynamic,3,72,12,8,20,11,0,11
creativity_0003,user,changed_aspects,changed aspects,4,65,7,4,11,10,1,11
creativity_0003,user,concerns,concerns,7,127,18,8,26,27,1,28
creativity_0003,user,future,future,2,36,7,3,10,2,0,2
creativity_0003,user,extra_comments,extra comments,2,8,0,1,1,1,0,1
creativity_0004,user,intro,intro,1,6,2,1,3,0,0,0
creativity_0004,user,basic_job_description,basic job description,2,43,4,1,5,18,0,18
creativity_0004,user,walkthrough,walkthrough,3,82,5,5,10,20,0,20
creativity_0004,user,project_example,project example,3,122,14,7,21,29,0,29
creativity_0004,user,dynamic,dynamic,3,105,11,12,23,14,1,15
creativity_0004,user,changed_aspects,changed aspects,2,48,7,3,10,8,1,9
creativity_0004,user,concerns,concerns,6,204,32,21,53,35,0,35
creativity_0004,user,future,future,7,207,28,16,44,43,3,46
creativity_0004,user,extra_comments,extra comments,2,17,4,1,5,0,0,0
creativity_0005,user,intro,intro,1,3,1,0,1,0,0,0
creativity_0005,user,basic_job_description,basic job description,7,168,20,8,28,28,10,38
creativity_0005,user,walkthrough,walkthrough,10,192,25,15,40,28,2,30
creativity_0005,user,project_example,project example,11,221,28,16,44,28,8,36
creativity_0005,user,dynamic,dynamic,3,52,5,4,9,9,0,9
creativity_0005,user,changed_aspects,changed aspects,2,32,3,3,6,6,0,6
creativity_0005,user,concerns,concerns,5,95,12,9,21,14,3,17
creativity_0005,user,future,future,4,81,16,9,25,12,2,14
creativity_0005,user,extra_comments,extra comments,1,7,1,0,1,0,0,0
creativity_0006,user,intro,intro,1,6,2,0,2,1,0,1
creativity_0006,user,basic_job_description,basic job description,4,84,8,1,9,21,0,21
creativity_0006,user,walkthrough,walkthrough,9,309,48,16,64,46,2,48
creativity_0006,user,project_example,project example,14,387,46,16,62,71,4,75
creativity_0006,user,dynamic,dynamic,7,228,33,16,49,39,1,40
creativity_0006,user,changed_aspects,changed aspects,12,272,30,19,49,44,2,46
creativity_0006,user,concerns,concerns,12,292,40,19,59,44,4,48
creativity_0006,user,future,future,2,54,6,6,12,7,0,7
creativity_0006,user,extra_comments,extra comments,1,12,1,0,1,1,0,1
creativity_0007,user,intro,intro,1,3,1,0,1,0,0,0
creativity_0007,user,basic_job_description,basic job description,4,115,10,4,14,28,8,36
creativity_0007,user,walkthrough,walkthrough,5,119,16,5,21,26,4,30
creativity_0007,user,project_example,project example,3,67,7,2,9,16,2,18
creativity_0007,user,dynamic,dynamic,2,48,6,4,10,5,1,6
creativity_0007,user,changed_aspects,changed aspects,3,62,9,2,11,11,2,13
creativity_0007,user,concerns,concerns,16,218,33,15,48,34,2,36
creativity_0007,user,future,future,6,127,17,7,24,23,4,27
creativity_0007,user,extra_comments,extra comments,8,192,18,16,34,42,0,42
creativity_0008,user,intro,intro,1,1,1,0,1,0,0,0
creativity_0008,user,basic_job_description,basic job description,5,84,12,2,14,21,2,23
creativity_0008,user,walkthrough,walkthrough,13,282,35,21,56,53,5,58
creativity_0008,user,project_example,project example,7,116,20,5,25,19,0,19
creativity_0008,user,dynamic,dynamic,3,67,10,5,15,8,0,8
creativity_0008,user,changed_aspects,changed aspects,2,47,5,7,12,5,0,5
creativity_0008,user,concerns,concerns,6,95,10,10,20,13,0,13
creativity_0008,user,future,future,3,33,5,5,10,2,0,2
creativity_0008,user,extra_comments,extra comments,1,6,0,1,1,0,0,0
creativity_0009,user,intro,intro,1,2,1,0,1,0,0,0
creativity_0009,user,basic_job_description,basic job description,3,74,11,5,16,16,0,16
creativity_0009,user,walkthrough,walkthrough,2,63,12,2,14,17,0,17
creativity_0009,user,project_example,project example,5,156,25,13,38,28,0,28
creativity_0009,user,dynamic,dynamic,3,76,9,7,16,11,0,11
creativity_0009,user,changed_aspects,changed aspects,9,161,18,12,30,30,0,30
creativity_0009,user,concerns,concerns,3,107,16,5,21,25,0,25
creativity_0009,user,future,future,4,64,13,1,14,13,0,13
creativity_0009,user,extra_comments,extra comments,3,41,3,5,8,4,1,5
creativity_0010,user,intro,intro,1,8,1,0,1,1,0,1
creativity_0010,user,basic_job_description,basic job description,9,265,30,6,36,61,4,65
creativity_0010,user,walkthrough,walkthrough,6,141,24,7,31,33,2,35
creativity_0010,user,project_example,project example,20,547,72,33,105,93,7,100
creativity_0010,user,dynamic,dynamic,5,95,12,6,18,17,0,17
creativity_0010,user,changed_aspects,changed aspects,5,118,21,8,29,14,0,14
creativity_0010,user,concerns,concerns,5,155,24,9,33,28,2,30
creativity_0010,user,future,future,6,146,29,10,39,21,1,22
creativity_0010,user,extra_comments,extra comments,1,1,0,0,0,0,0,0
creativity_0011,user,intro,intro,1,7,1,1,2,0,0,0
creativity_0011,user,basic_job_description,basic job description,4,117,17,5,22,27,0,27
creativity_0011,user,walkthrough,walkthrough,9,308,34,12,46,58,4,62
creativity_0011,user,project_example,project example,6,204,25,8,33,37,3,40
creativity_0011,user,dynamic,dynamic,4,140,17,11,28,26,0,26
creativity_0011,user,changed_aspects,changed aspects,8,194,25,13,38,37,2,39
creativity_0011,user,concerns,concerns,5,138,27,8,35,19,1,20
creativity_0011,user,future,future,4,176,29,10,39,29,0,29
creativity_0011,user,extra_comments,extra comments,1,5,1,0,1,0,0,0
creativity_0012,user,intro,intro,1,4,1,0,1,0,0,0
creativity_0012,user,basic_job_description,basic job description,3,39,3,4,7,7,0,7
creativity_0012,user,walkthrough,walkthrough,5,109,12,10,22,22,1,23
creativity_0012,user,project_example,project example,8,190,21,17,38,37,0,37
creativity_0012,user,dynamic,dynamic,2,30,4,2,6,4,0,4
creativity_0012,user,changed_aspects,changed aspects,5,75,9,7,16,14,1,15
creativity_0012,user,concerns,concerns,6,110,11,8,19,25,1,26
creativity_0012,user,future,future,7,152,20,15,35,24,0,24
creativity_0012,user,extra_comments,extra comments,1,1,0,0,0,0,0,0
creativity_0013,user,intro,intro,1,7,2,0,2,1,0,1
creativity_0013,user,basic_job_description,basic job description,2,82,9,3,12,24,3,27
creativity_0013,user,walkthrough,walkthrough,2,93,14,2,16,15,2,17
creativity_0013,user,project_example,project example,3,115,13,2,15,25,1,26
creativity_0013,user,dynamic,dynamic,7,156,15,10,25,30,0,30
creativity_0013,user,changed_aspects,changed aspects,2,64,10,4,14,12,1,13
creativity_0013,user,concerns,concerns,7,117,12,7,19,24,2,26
creativity_0013,user,future,future,3,70,9,5,14,13,2,15
creativity_0013,user,extra_comments,extra comments,1,7,1,1,2,0,0,0
creativity_0014,user,intro,intro,1,16,3,1,4,1,0,1
creativity_0014,user,basic_job_description,basic job description,2,105,13,6,19,23,7,30
creativity_0014,user,walkthrough,walkthrough,3,106,9,5,14,25,2,27
creativity_0014,user,project_example,project example,3,99,13,3,16,18,3,21
creativity_0014,user,dynamic,dynamic,2,81,11,12,23,12,0,12
creativity_0014,user,changed_aspects,changed aspects,2,80,14,6,20,10,1,11
creativity_0014,user,concerns,concerns,2,117,17,7,24,23,0,23
creativity_0014,user,future,future,3,100,13,11,24,18,0,18
creativity_0014,user,extra_comments,extra comments,1,10,2,1,3,0,0,0
creativity_0015,user,intro,intro,1,9,2,0,2,0,1,1
creativity_0015,user,basic_job_description,basic job description,6,84,11,3,14,22,0,22
creativity_0015,user,walkthrough,walkthrough,4,101,15,2,17,18,1,19
creativity_0015,user,project_example,project example,4,88,11,6,17,14,1,15
creativity_0015,user,dynamic,dynamic,3,93,14,3,17,20,1,21
creativity_0015,user,changed_aspects,changed aspects,4,97,15,7,22,13,1,14
creativity_0015,user,concerns,concerns,3,83,10,7,17,12,2,14
creativity_0015,user,future,future,4,104,17,5,22,16,0,16
creativity_0015,user,extra_comments,extra comments,2,14,1,1,2,2,1,3
creativity_0016,user,intro,intro,2,7,3,0,3,0,0,0
creativity_0016,user,basic_job_description,basic job description,2,26,1,2,3,7,0,7
creativity_0016,user,walkthrough,walkthrough,3,59,9,0,9,23,0,23
creativity_0016,user,project_example,project example,4,96,15,2,17,25,1,26
creativity_0016,user,dynamic,dynamic,3,81,14,5,19,10,1,11
creativity_0016,user,changed_aspects,changed aspects,3,69,7,2,9,17,1,18
creativity_0016,user,concerns,concerns,7,148,20,8,28,34,1,35
creativity_0016,user,future,future,5,128,14,10,24,26,3,29
creativity_0016,user,extra_comments,extra comments,1,7,0,2,2,0,0,0
creativity_0017,user,intro,intro,1,5,1,0,1,0,0,0
creativity_0017,user,basic_job_description,basic job description,4,154,18,4,22,39,2,41
creativity_0017,user,walkthrough,walkthrough,4,160,21,6,27,40,2,42
creativity_0017,user,project_example,project example,7,226,31,20,51,40,0,40
creativity_0017,user,dynamic,dynamic,2,46,8,1,9,7,0,7
creativity_0017,user,changed_aspects,changed aspects,2,51,10,1,11,8,0,8
creativity_0017,user,concerns,concerns,7,200,25,16,41,36,1,37
creativity_0017,user,future,future,1,46,8,1,9,11,1,12
creativity_0017,user,extra_comments,extra comments,1,6,0,1,1,0,0,0
creativity_0018,user,intro,intro,1,5,1,0,1,0,0,0
creativity_0018,user,basic_job_description,basic job description,4,73,6,2,8,22,0,22
creativity_0018,user,walkthrough,walkthrough,4,85,9,8,17,19,0,19
creativity_0018,user,project_example,project example,4,95,18,7,25,13,0,13
creativity_0018,user,dynamic,dynamic,3,54,10,3,13,7,0,7
creativity_0018,user,changed_aspects,changed aspects,2,56,7,4,11,10,0,10
creativity_0018,user,concerns,concerns,3,78,8,8,16,19,0,19
creativity_0018,user,future,future,4,133,11,7,18,29,0,29
creativity_0018,user,extra_comments,extra comments,4,110,14,8,22,24,0,24
creativity_0019,user,intro,intro,2,10,3,1,4,0,0,0
creativity_0019,user,basic_job_description,basic job description,2,47,6,2,8,11,0,11
creativity_0019,user,walkthrough,walkthrough,5,100,19,7,26,11,0,11
creativity_0019,user,project_example,project example,6,148,21,6,27,31,2,33
creativity_0019,user,dynamic,dynamic,4,77,9,7,16,10,0,10
creativity_0019,user,changed_aspects,changed aspects,4,62,8,7,15,11,1,12
creativity_0019,user,concerns,concerns,2,36,3,2,5,10,1,11
creativity_0019,user,future,future,3,66,10,3,13,12,0,12
creativity_0019,user,extra_comments,extra comments,1,7,2,2,4,0,0,0
creativity_0020,user,intro,intro,1,6,2,0,2,0,0,0
creativity_0020,user,basic_job_description,basic job description,1,22,1,1,2,7,0,7
creativity_0020,user,walkthrough,walkthrough,3,55,7,3,10,14,5,19
creativity_0020,user,project_example,project example,5,88,13,2,15,19,2,21
creativity_0020,user,dynamic,dynamic,4,112,16,5,21,19,2,21
creativity_0020,user,changed_aspects,changed aspects,3,70,7,2,9,16,0,16
creativity_0020,user,concerns,concerns,6,135,16,14,30,32,0,32
creativity_0020,user,future,future,5,92,12,8,20,14,1,15
creativity_0020,user,extra_comments,extra comments,2,11,2,1,3,0,0,0
creativity_0021,user,intro,intro,2,9,1,1,2,1,0,1
creativity_0021,user,basic_job_description,basic job description,4,141,8,7,15,38,0,38
creativity_0021,user,walkthrough,walkthrough,4,172,27,9,36,30,3,33
creativity_0021,user,project_example,project example,4,161,16,14,30,30,2,32
creativity_0021,user,dynamic,dynamic,4,63,6,3,9,15,0,15
creativity_0021,user,changed_aspects,changed aspects,2,92,12,0,12,23,0,23
creativity_0021,user,concerns,concerns,6,131,10,11,21,25,1,26
creativity_0021,user,future,future,3,64,12,3,15,11,1,12
creativity_0021,user,extra_comments,extra comments,1,8,2,1,3,0,0,0
creativity_0022,user,intro,intro,2,11,2,1,3,0,0,0
creativity_0022,user,basic_job_description,basic job description,9,253,32,9,41,66,0,66
creativity_0022,user,walkthrough,walkthrough,8,206,25,6,31,57,2,59
creativity_0022,user,project_example,project example,13,305,57,14,71,68,4,72
creativity_0022,user,dynamic,dynamic,7,191,28,12,40,23,1,24
creativity_0022,user,changed_aspects,changed aspects,3,79,13,2,15,19,0,19
creativity_0022,user,concerns,concerns,8,226,27,19,46,43,4,47
creativity_0022,user,future,future,5,121,16,11,27,25,2,27
creativity_0022,user,extra_comments,extra comments,1,8,1,1,2,0,0,0
creativity_0023,user,intro,intro,1,2,1,0,1,0,0,0
creativity_0023,user,basic_job_description,basic job description,2,37,4,2,6,11,3,14
creativity_0023,user,walkthrough,walkthrough,3,52,6,2,8,14,1,15
creativity_0023,user,project_example,project example,5,81,13,3,16,20,0,20
creativity_0023,user,dynamic,dynamic,5,84,14,6,20,16,2,18
creativity_0023,user,changed_aspects,changed aspects,5,78,10,9,19,19,0,19
creativity_0023,user,concerns,concerns,3,87,11,9,20,18,1,19
creativity_0023,user,future,future,4,85,11,4,15,18,1,19
creativity_0023,user,extra_comments,extra comments,1,1,0,0,0,0,0,0
creativity_0024,user,intro,intro,1,7,1,1,2,0,0,0
creativity_0024,user,basic_job_description,basic job description,5,204,26,11,37,43,3,46
creativity_0024,user,walkthrough,walkthrough,7,215,27,15,42,34,4,38
creativity_0024,user,project_example,project example,6,267,28,19,47,37,4,41
creativity_0024,user,dynamic,dynamic,1,53,4,8,12,7,0,7
creativity_0024,user,changed_aspects,changed aspects,3,181,24,14,38,27,0,27
creativity_0024,user,concerns,concerns,4,181,17,9,26,32,0,32
creativity_0024,user,future,future,4,166,21,12,33,22,2,24
creativity_0024,user,extra_comments,extra comments,2,12,1,1,2,2,0,2
creativity_0025,user,intro,intro,2,6,1,0,1,1,0,1
creativity_0025,user,basic_job_description,basic job description,4,54,8,3,11,14,0,14
creativity_0025,user,walkthrough,walkthrough,3,71,10,8,18,12,0,12
creativity_0025,user,project_example,project example,4,93,15,4,19,16,1,17
creativity_0025,user,dynamic,dynamic,4,65,9,5,14,10,0,10
creativity_0025,user,changed_aspects,changed aspects,3,39,1,3,4,5,0,5
creativity_0025,user,concerns,concerns,3,55,8,6,14,9,0,9
creativity_0025,user,future,future,2,21,3,2,5,0,1,1
creativity_0025,user,extra_comments,extra comments,1,6,1,1,2,0,0,0
creativity_0026,user,intro,intro,2,6,2,0,2,0,0,0
creativity_0026,user,basic_job_description,basic job description,11,329,40,20,60,72,0,72
creativity_0026,user,walkthrough,walkthrough,5,177,26,10,36,22,2,24
creativity_0026,user,project_example,project example,7,156,20,9,29,24,0,24
creativity_0026,user,dynamic,dynamic,2,62,6,4,10,14,0,14
creativity_0026,user,changed_aspects,changed aspects,1,27,6,2,8,2,0,2
creativity_0026,user,concerns,concerns,5,228,22,16,38,50,4,54
creativity_0026,user,future,future,3,127,19,8,27,30,0,30
creativity_0026,user,extra_comments,extra comments,1,8,1,1,2,0,0,0
creativity_0027,user,intro,intro,2,20,5,1,6,2,0,2
creativity_0027,user,basic_job_description,basic job description,3,76,8,4,12,24,0,24
creativity_0027,user,walkthrough,walkthrough,6,87,17,5,22,14,4,18
creativity_0027,user,project_example,project example,10,220,34,19,53,26,3,29
creativity_0027,user,dynamic,dynamic,4,105,17,6,23,13,3,16
creativity_0027,user,changed_aspects,changed aspects,2,100,20,6,26,13,4,17
creativity_0027,user,concerns,concerns,3,83,11,7,18,17,0,17
creativity_0027,user,future,future,4,170,27,15,42,28,4,32
creativity_0027,user,extra_comments,extra comments,1,6,1,1,2,0,0,0
creativity_0028,user,intro,intro,1,9,1,0,1,0,0,0
creativity_0028,user,basic_job_description,basic job description,2,29,2,3,5,8,0,8
creativity_0028,user,walkthrough,walkthrough,4,100,13,2,15,19,0,19
creativity_0028,user,project_example,project example,3,93,12,4,16,21,1,22
creativity_0028,user,dynamic,dynamic,1,36,2,2,4,4,0,4
creativity_0028,user,changed_aspects,changed aspects,2,102,11,13,24,14,0,14
creativity_0028,user,concerns,concerns,4,78,7,9,16,11,2,13
creativity_0028,user,future,future,3,77,12,7,19,15,0,15
creativity_0028,user,extra_comments,extra comments,4,77,12,6,18,13,1,14
creativity_0029,user,intro,intro,2,10,2,1,3,1,0,1
creativity_0029,user,basic_job_description,basic job description,5,76,14,1,15,17,0,17
creativity_0029,user,walkthrough,walkthrough,7,136,23,6,29,22,1,23
creativity_0029,user,project_example,project example,11,193,29,11,40,27,1,28
creativity_0029,user,dynamic,dynamic,8,146,17,11,28,22,1,23
creativity_0029,user,changed_aspects,changed aspects,5,92,13,9,22,14,1,15
creativity_0029,user,concerns,concerns,8,152,18,13,31,28,1,29
creativity_0029,user,future,future,4,65,10,6,16,10,0,10
creativity_0029,user,extra_comments,extra comments,1,6,1,1,2,0,0,0
creativity_0030,user,intro,intro,2,14,2,2,4,1,0,1
creativity_0030,user,basic_job_description,basic job description,3,52,4,3,7,12,0,12
creativity_0030,user,walkthrough,walkthrough,3,89,10,4,14,16,1,17
creativity_0030,user,project_example,project example,12,264,38,19,57,28,3,31
creativity_0030,user,dynamic,dynamic,3,92,11,3,14,16,0,16
creativity_0030,user,changed_aspects,changed aspects,3,87,12,5,17,12,0,12
creativity_0030,user,concerns,concerns,7,162,25,11,36,23,2,25
creativity_0030,user,future,future,5,162,31,9,40,15,0,15
creativity_0030,user,extra_comments,extra comments,1,9,2,1,3,0,0,0
creativity_0031,user,intro,intro,1,8,1,1,2,0,0,0
creativity_0031,user,basic_job_description,basic job description,5,78,5,4,9,19,1,20
creativity_0031,user,walkthrough,walkthrough,5,175,23,11,34,35,3,38
creativity_0031,user,project_example,project example,3,81,11,7,18,10,0,10
creativity_0031,user,dynamic,dynamic,6,180,29,12,41,19,2,21
creativity_0031,user,changed_aspects,changed aspects,3,118,23,8,31,15,0,15
creativity_0031,user,concerns,concerns,5,121,10,10,20,22,0,22
creativity_0031,user,future,future,7,143,21,11,32,20,0,20
creativity_0031,user,extra_comments,extra comments,4,69,6,6,12,5,1,6
creativity_0032,user,intro,intro,2,11,3,0,3,1,0,1
creativity_0032,user,basic_job_description,basic job description,7,162,23,8,31,26,3,29
creativity_0032,user,walkthrough,walkthrough,4,123,18,5,23,21,2,23
creativity_0032,user,project_example,project example,9,204,30,19,49,32,3,35
creativity_0032,user,dynamic,dynamic,6,120,22,3,25,21,0,21
creativity_0032,user,changed_aspects,changed aspects,6,129,24,12,36,13,0,13
creativity_0032,user,concerns,concerns,5,129,24,9,33,10,3,13
creativity_0032,user,future,future,5,127,20,10,30,15,1,16
creativity_0032,user,extra_comments,extra comments,2,13,3,0,3,1,0,1
creativity_0033,user,intro,intro,1,4,0,1,1,0,0,0
creativity_0033,user,basic_job_description,basic job description,8,137,18,1,19,38,6,44
creativity_0033,user,walkthrough,walkthrough,8,231,35,10,45,39,2,41
creativity_0033,user,project_example,project example,8,257,41,8,49,41,4,45
creativity_0033,user,dynamic,dynamic,19,453,66,33,99,69,3,72
creativity_0033,user,changed_aspects,changed aspects,8,221,27,15,42,25,3,28
creativity_0033,user,concerns,concerns,8,147,22,18,40,18,4,22
creativity_0033,user,future,future,8,192,25,19,44,32,1,33
creativity_0033,user,extra_comments,extra comments,1,1,0,0,0,0,0,0
creativity_0034,user,intro,intro,2,7,3,0,3,0,0,0
creativity_0034,user,basic_job_description,basic job description,4,95,6,7,13,20,2,22
creativity_0034,user,walkthrough,walkthrough,5,81,12,3,15,14,1,15
creativity_0034,user,project_example,project example,6,172,20,12,32,28,1,29
creativity_0034,user,dynamic,dynamic,7,125,18,10,28,15,1,16
creativity_0034,user,changed_aspects,changed aspects,5,150,19,12,31,22,1,23
creativity_0034,user,concerns,concerns,8,248,34,12,46,48,1,49
creativity_0034,user,future,future,3,94,14,7,21,10,3,13
creativity_0034,user,extra_comments,extra comments,2,11,2,0,2,1,0,1
creativity_0035,user,intro,intro,1,3,1,0,1,0,0,0
creativity_0035,user,basic_job_description,basic job description,2,30,3,3,6,7,0,7
creativity_0035,user,walkthrough,walkthrough,3,77,15,3,18,14,2,16
creativity_0035,user,project_example,project example,3,75,14,1,15,13,2,15
creativity_0035,user,dynamic,dynamic,2,28,6,1,7,6,0,6
creativity_0035,user,changed_aspects,changed aspects,3,52,10,4,14,4,1,5
creativity_0035,user,concerns,concerns,2,32,6,2,8,10,0,10
creativity_0035,user,future,future,2,54,9,5,14,6,0,6
creativity_0035,user,extra_comments,extra comments,1,9,1,0,1,1,0,1
creativity_0036,user,intro,intro,2,14,2,1,3,2,0,2
creativity_0036,user,basic_job_description,basic job description,3,33,3,2,5,8,0,8
creativity_0036,user,walkthrough,walkthrough,5,100,16,9,25,12,4,16
creativity_0036,user,project_example,project example,7,144,23,8,31,25,0,25
creativity_0036,user,dynamic,dynamic,5,82,8,6,14,17,0,17
creativity_0036,user,changed_aspects,changed aspects,1,33,5,3,8,8,1,9
creativity_0036,user,concerns,concerns,8,192,24,14,38,45,4,49
creativity_0036,user,future,future,5,84,13,6,19,16,1,17
creativity_0036,user,extra_comments,extra comments,2,9,1,1,2,0,0,0
creativity_0037,user,intro,intro,1,3,1,0,1,0,0,0
creativity_0037,user,basic_job_description,basic job description,9,151,16,8,24,38,0,38
creativity_0037,user,walkthrough,walkthrough,6,104,14,5,19,19,2,21
creativity_0037,user,project_example,project example,14,310,37,16,53,58,4,62
creativity_0037,user,dynamic,dynamic,1,25,5,2,7,3,1,4
creativity_0037,user,changed_aspects,changed aspects,7,96,14,4,18,19,0,19
creativity_0037,user,concerns,concerns,2,36,6,3,9,8,0,8
creativity_0037,user,future,future,5,83,13,5,18,13,1,14
creativity_0037,user,extra_comments,extra comments,2,5,1,0,1,0,0,0
creativity_0038,user,intro,intro,1,3,1,0,1,0,0,0
creativity_0038,user,basic_job_description,basic job description,3,52,6,4,10,13,0,13
creativity_0038,user,walkthrough,walkthrough,4,80,12,7,19,11,0,11
creativity_0038,user,project_example,project example,4,84,13,5,18,10,0,10
creativity_0038,user,dynamic,dynamic,5,94,13,6,19,20,0,20
creativity_0038,user,changed_aspects,changed aspects,2,45,6,4,10,8,0,8
creativity_0038,user,concerns,concerns,3,71,8,7,15,16,0,16
creativity_0038,user,future,future,3,80,13,9,22,12,0,12
creativity_0038,user,extra_comments,extra comments,2,9,2,1,3,0,0,0
creativity_0039,user,intro,intro,1,4,2,0,2,0,0,0
creativity_0039,user,basic_job_description,basic job description,4,75,6,4,10,21,2,23
creativity_0039,user,walkthrough,walkthrough,2,49,6,5,11,11,1,12
creativity_0039,user,project_example,project example,9,176,29,6,35,33,3,36
creativity_0039,user,dynamic,dynamic,3,86,11,5,16,11,1,12
creativity_0039,user,changed_aspects,changed aspects,2,48,6,4,10,10,1,11
creativity_0039,user,concerns,concerns,8,172,21,18,39,33,2,35
creativity_0039,user,future,future,3,94,11,6,17,23,0,23
creativity_0039,user,extra_comments,extra comments,3,36,5,4,9,4,2,6
creativity_0040,user,intro,intro,1,1,0,0,0,0,0,0
creativity_0040,user,basic_job_description,basic job description,3,57,3,2,5,15,0,15
creativity_0040,user,walkthrough,walkthrough,8,161,21,8,29,41,3,44
creativity_0040,user,project_example,project example,7,177,18,1,19,37,15,52
creativity_0040,user,dynamic,dynamic,3,56,6,3,9,11,0,11
creativity_0040,user,changed_aspects,changed aspects,2,60,8,3,11,15,1,16
creativity_0040,user,concerns,concerns,1,2,0,0,0,0,0,0
creativity_0040,user,future,future,3,85,16,7,23,16,5,21
creativity_0040,user,extra_comments,extra comments,1,1,0,0,0,0,0,0
creativity_0041,user,intro,intro,1,3,2,0,2,0,0,0
creativity_0041,user,basic_job_description,basic job description,1,51,5,2,7,14,0,14
creativity_0041,user,walkthrough,walkthrough,2,48,7,2,9,12,0,12
creativity_0041,user,project_example,project example,5,160,19,7,26,34,0,34
creativity_0041,user,dynamic,dynamic,2,53,7,3,10,10,1,11
